"Lengow","Lengow"
"Dashboard","Dashboard"
"Products","Produkte"
"Orders","Bestellungen"
"Help","Hilfe"
"Logs","Logs"
"Settings","Einstellungen"
"Yes","Ja"
"No","Nein"
"Pre-production mode","Vorproduktionsmodus"
"Trial period: %1 day(s) left.","Testzeitraum: %1 Tag(e) verbleiben."
"Subscribe","Jetzt anmelden!"
"Toolbox","Toolbox"
"Legal notices","Rechtshinweise"
"Lengow Magento Plugin","Lengow Magento Plugin"
"http://www.lengow.com/","http://www.lengow.com/"
"Dashboard","Dashboard"
"Hi! Welcome back!","Hallo und herzlich willkommen!"
"Go to Lengow"," Zu Lengow wechseln"
"Products","Produkte"
"Take a look at all available products so that you can prepare your catalogue"," Alle verfügbaren Produkte im Überblick, um Ihren Katalog vorzubereiten "
"Orders","Bestellungen"
"Manage your orders directly on your Magento dashboard","Verwalten Sie Ihre Bestellungen direkt in Ihrem Magento-Dashboard"
"Settings","Einstellungen"
"Configure your Magento plugin main settings","Konfigurieren Sie Ihr Magento-Plugin "
"Lengow, your business partner","Lengow, Ihr Geschäftspartner"
"Turnover","Umsatz"
"Orders","Bestellungen"
"Want more stats?","Wünschen Sie mehr Statistiken?"
"Need some help?","Benötigen Sie Hilfe?"
"Get in touch with Lengow.","Kontaktieren Sie Lengow"
"Visit our Help Center","Schauen Sie im Help Center"
"for detailed information on how to configure your Magento plugin properly","um detaillierte Informationen zu der korrekten Einrichtung des Magento-Plugins zu finden"
"You have %1 order(s) with errors","Sie haben %1 Bestellung(en) mit Fehlern"
"You have %1 order(s) waiting to be sent","Sie haben %1 Bestellung(en) die zum Versand bereit sind"
"Last synchronisation : %1","Letzte Synchronisierung: %1"
"All good things come to an end","Alle guten Dinge haben ein Ende"
"You've reached the end of your trial!","Ihr Testzeitraum ist nun abgelaufen"
"Your free 15-day trial period on Lengow has now expired. We know that it is sad news, but the best is yet to come! We sincerely hope Lengow has helped you improve your business.","Ihr 15-tägiger Testzeitraum ist nun abgelaufen. Wir wissen, dass es traurige Neuigkeiten sind, aber das Beste kommt erst noch. Wir hoffen aufrichtig, dass Lengow zu Ihrem Unternehmenserfolg beitragen konnte."
"Your account will be suspended until you purchase a new subscription. All existing distributions and importations will also be suspended.","Ihr Account wird gesperrt, bis Sie eine neue Lizenz erwerben. Dies gilt auch für bereits erstellte Verteilungen und Imports!"
"Don't forget that trial accounts are deleted 30 days after the end of the trial period. Make sure to subscribe so you do not lose the work you've done building channels.","Ihr Trial-Account wird 30 Tage nach dem Ende Ihres Test-Zeitraums automatisch gelöscht. Gehen Sie auf Nummer sicher und melden Sie sich an - nur so sichern Sie Ihre bereits geleistete Arbeit an Ihren Kanälen."
"Your account has been temporarily shut down","Ihr Konto wurde vorläufig geschlossen"
"We are sorry to inform you that we have had to limit access to your account temporarily because the automatic payment of your subscription failed.","Wir informieren Sie, dass wir Ihren Zugang zu Ihrem Konto blockieren mussten, da die automatische Überweisung leider nicht bei uns eingegangen ist."
"The posting of your catalogue has been suspended. We strongly suggest that you get in touch with us at","Die Publizierung Ihres Produktdatenfeeds wurde vorübergehend eingestellt. Wir empfehlen Ihnen dringend, mit uns in Kontakt zu treten über"
"or by phone at +44 203 318 2632","oder telefonisch unter: +49 (0)3222-17 41 093"
"We hope to work with you again in the near future.","Wir hoffen auf eine zeitnahe neue Zusammenarbeit."
"View my billing information","Siehe meine Rechnungsinformation"
"It's ok, I'm ready to subscribe!","Ich bin bereit mich anzumelden!"
"Refresh my account"," Meinen Account aktualisieren"
"Products","Produkte"
"products exported","Produkte exportiert"
"products available","Produkte verfügbar"
"Include specific products","Spezifische Produkte einbeziehen"
"Use this option to select products one by one","Verwenden Sie diese Option, um Ihre Produkte einzeln auszuwählen"
"Download","Download"
"ID","ID"
"Image","Image"
"Name","Name"
"Type","Typ"
"Attribut set name","Kategorie"
"SKU","SKU"
"Price","Preis"
"Quantity","Anzahl"
"Visibility","Visibilität"
"Status","Status"
"Websites","Website"
"Include in export?","Im Export inkludieren?"
"Publish in Lengow","In Lengow veröffentlichen"
"Unpublish in Lengow","Nicht mehr in Lengow veröffentlichen"
"Something went wrong while updating the lengow product(s) attribute.","Bei der Aktualisierung der Lengow Produkt Attribute ist ein Fehler aufgetreten."
"Orders","Bestellungen"
"Synchronize Orders","Bestellungen synchronisieren"
"You are in pre-production mode. You can import orders, but no interaction with Lengow is possible.","Sie sind im Pre-Production-Modus. Sie können Bestellungen importieren, die Interaktion mit Lengow ist aber nicht möglich."
"Change this","Dies ändern?"
"Lengow informations","Informationen zu Lengow"
"Delivery Address ID"," Lieferaddresse-ID"
"Currency","Währung"
"Commission","Kommission"
"Customer email","Kunden-EMail"
"Carrier from marketplace"," Spediteur des Marktplatzes"
"Shipping method from marketplace","Versandart des Marktplatzes"
"Tracking number","Sendungsverfolgungsnummer"
"ID relay","ID Abholstation"
"Shipped by marketplace","Versandt durch Marktplatz"
"Message","Nachricht"
"Imported at","Importiert am"
"JSON format","JSON format"
"This order is not from Lengow","Diese Bestellung ist nicht von Lengow"
"Due to a reimportation, this order is not tracked by Lengow"," Aufgrund eines erneuten Imports, wird diese Bestellung durch Lengow nicht verfolgt"
"Synchronize ID","ID synchronisieren"
"Do you really want to synchronize the order?","Möchten Sie die Bestellung wirklich synchronisieren?"
"Re-import order","Bestellungen erneut importieren"
"Do you really want to re-import the order?","Wollen Sie wirklich die Bestellung erneut importieren?"
"Resend Action"," Aktion erneut senden"
"Do you really want to %1 the order?","Wollen Sie wirklich die Bestellung %1 ?"
"No synchronisation for now","Derzeit keine Synchronisierung"
"All order issue reports will be sent by mail to"," Alle Bestellfehler-Reports werden per Email gesendet"
"No order issue reports will be sent by mail","Bestellfehler-Reports werden per Email nicht gesendet"
"Change this?","Ändern Sie dies?"
"The synchronisation of the orders was blocked by a timeout. Please reload the page.","Während der Synchronisierung der Bestellungen kam es zu einem Time-Out-Fehler. Bitte aktualisieren Sie die Seite."
"Actions","Aktionen"
"Success","Erfolg"
"Error","Fehler"
"Lengow status","Lengow Status"
"Accepted","Akzeptiert"
"Awaiting shipment","Warten auf Versand"
"Shipped","Versandt"
"Refunded","Erstattet"
"Closed"," Abgeschlossen"
"Shipped by Marketplace","Durch Marktplatz versandt"
"Canceled","Abgebrochen"
"Marketplace","Shop"
"Store","Marktplatz"
"Marketplace SKU","Marktplatz-SKU"
"Magento SKU","Magento SKU "
"Magento status","Status Magento"
"Order Date","Bestelldatum"
"Customer name","Kundenname"
"Country","Land"
"Items","Item"
"Total Paid"," Insgesamt bezahlt"
"not imported","nicht importiert"
"not sent","nicht gesendet"
"Order hasn't been imported into Magento"," Bestellung konnte in Magento nicht importiert werden"
"action %1 sent","Aktivität %1 gesendet"
"Action sent to the marketplace didn't work","An Marktplatz gesendete Aktivität funktioniert nicht"
"Unidentified error, please contact Lengow's support team for more information","Ein nicht identifizierbarer Fehler ist aufgetreten. Bitte kontaktieren Sie unseren Support!"
"Action sent, waiting for response"," Aktivität gesendet, warten auf Antwort"
"Re-import selected orders","Ausgewählte Bestellungen neu importieren"
"Re-import all selected orders","Ausgewählte Bestellungen neu importieren"
"Do you want to re-import all selected orders?","Möchten Sie alle ausgewählten Bestellungen neu importieren?"
"A total of %1 order(s) in %2 selected have been imported.","Es wurden %1 Bestellungen von insgesamt %2 Bestellungen importiert."
"Re-send selected orders","Bestellungen importiert."
"Re-send all selected orders","Ausgewählte Bestellungen erneut versenden"
"Do you want to re-send all selected orders?","Möchten Sie alle ausgewählten Bestellungen erneut versenden?"
"A total of %1 order(s) in %2 selected have been sent.","Insgesamt wurden %1 Bestellungen von %2ausgewählten Bestellungen versandt."
"Get a little help from your support team!","Lassen Sie sich etwas von Ihrem Support-Team unterstützen"
"Ask us anything about Lengow or share your feedback with","Kontaktieren Sie uns bei Fragen und teilen Sie uns Ihr Feedback mit über den"
"Lengow Support.","Lengow Support."
"https://supportlengow.zendesk.com/hc/en-us/requests/new","https://supportlengow.zendesk.com/hc/en-us/requests/new"
"Need some help?","Brauchen Sie Hilfe?"
"We’ll do our best to get back to you during regular business hours (Monday to Friday – 9am to 6pm GMT+1).","Wir werden alles tun, um Sie während der normalen Geschäftszeiten (Montag - Freitag von 09:00 - 18:00 (MEZ+1)) zurückzurufen."
"You can also find answers in our","Sie können Antworten auch in unserem"
"Magento 2 dedicated guide","Magentos 2 Begleithandbuch finden"
"https://en.lengow.help/help/magento-2","https://en.lengow.help/help/magento-2"
"Logs","Logs"
"ID","ID"
"Date","Datum"
"Message","Nachricht"
"Category","Kategorie"
"Simplified limited liability company","Gesellschaft mit einfacher Haftungsbeschränkung"
"Social capital:","Soziales Kapital:"
"CNIL declaration:","CNIL Erklärung:"
"Company Registration Number (Nantes):","Firmenregistrierungsnummer (Nantes):"
"VAT identification number:","MwSt.-Identifikationsnummer:"
"Address","Adresse"
"Contact","Vertrag"
"Hosting","Hosting"
"Lengow Toolbox","Lengow Toolbox"
"Global information","Globale Information"
"Plugin information","Information zum Plugin"
"Magento version","Version von Magento"
"Plugin version","Version des Plugins"
"Server IP","Server IP"
"Authorisation by IP enabled","Autorisierung über IP aktiviert"
"Authorised IP","Autorisierte IP"
"Export in a file enabled","Export auf Datei aktiviert"
"Magento cron job enabled for export"," Magento-cronjob für Export aktiviert"
"Pre-production mode disabled","Vorproduktionsmodus ist deaktiviert"
"Read and write permission from media folder","Genehmigung vom Mediumordner schreiben"
"Import information","Import information"
"Import token","Import token"
"Import URL","Import URL"
"Magento cron job enabled for import","Magento Cron-Job für Export aktiviert"
"Orders imported by Lengow","Bestellungen importiert durch Lengow"
"Orders waiting to be sent","Bestellungen die auf den Versand warten"
"Orders with errors","Fehlerhaste Bestellungen"
"Import in progress","Import in Bearbeitung"
"No import in progress","Kein Import in Bearbeitung"
"wait %1 seconds before the next import","Gedulden Sie sich %1 Sekunden bis zum nächsten Import"
"Last import","Letzter Import"
"Last import type","Letzter Import Type"
"none","Kein"
"cron","Cron"
"manual","manuell"
"Store information","Shopinformationen"
"Export information","Exportinformationen"
"Store followed by Lengow","Shop von Lengow gefolgt"
"Lengow catalogs id synchronized","Lengow Kataloge id synchronisiert"
"Export token","Export Token"
"Last export","Letzter Export"
"Products available in the store","Produkt im Shop verfügbar"
"Products exported in the store","Produkte in den Shop exportiert"
"Export URL for this store","Export URL für diesen Shop"
"Content folder media","Contentordner Medien"
"Folder path","Ordnerpfad"
"File list","Dateiliste"
"No file exported","Es wurde keine Datei exportiert"
"Magento cron schedule","Magento cron Planung"
"Lengow export cron jobs","Lengow-Export cronjobs"
"Lengow import cron jobs","Lengow Import Cronjobs"
"Status","Status"
"Message","Nachricht"
"Scheduled at","Geplant am"
"Executed at","Durchgeführt am"
"Finished at","Beendet am"
"Any scheduled cron job for now","Keine cronjobs für jetzt geplant"
"see message","Siehe nachricht"
"File Checksum integrity","Integrität der Dateiprüfsumme"
"checkmd5.csv file is not available. Checking is impossible!","checkmd5.csv Datei ist nicht verfügbar. Die Prüfung ist nicht möglich !"
"Summary","Zusammenfassung"
"%1 files checked","%1 Dateien überprüft"
"%1 files changed","%1 Dateien geändert"
"%1 files deleted","%1 Dateien gelöscht"
"List of changed files","Liste der geänderten Dateien"
"List of deleted files","Liste der gelöschten Dateien"
"Lengow actions","Aktionen durch Lengow"
"Lengow actions","Aktionen durch Lengow"
"ID","ID"
"Order ID","ID Bestellung"
"Action ID","Action ID"
"Order line ID","ID Bestellzeilen"
"Action type","Aktionstyp"
"ship","versenden"
"cancel","abbrechen"
"Retry","Wiederholen"
"Settings","Einstellungen"
"Status","Status"
"processing","wird durchgeführt"
"complete","fertig"
"Created at","Erstellt am"
"Updated at","Aktualisiert am"
"Global settings","Globale Einstellungen"
"Identification settings"," Benutzer-Credentials"
"To change store credentials, please select a store","Um Shop Zugangsdaten zu ändern, wählen Sie bitte einen Shop aus"
"Account ID","Account ID"
"Your Lengow Account ID","Ihr Lengow Account ID"
"Access token","Zugangstoken"
"Your Lengow Access Token","Ihr Lengow-Zugangstoken"
"Secret token","Geheimtoken"
"Your Lengow Secret Token","Ihr Geheimtoken"
"Enable store","Shop aktivieren"
"Enable store to work with Lengow","Verbindung zwischen Lengow und Shop aktivieren"
"Catalogues ID","Katalog-ID"
"Your catalogues ID to import orders. Separate them by ' ; '","Ihre Katalog-ID für den Import von Bestellungen.Getrennt durch ' ; '"
"All advanced settings","Alle erweiterten Einstellungen"
"Enable authorisation by IP","Aktivieren Sie die Autorisierung über IP"
"Enable this option if you want your export to be secured by IP. By default, your export is secured by a unique key.","Aktivieren Sie diese Option, wenn Sie Ihren Export über IP sichern wollen. Standartmäßig ist ihr Export über einen Sicherheitsschlüssel gespeichert."
"IP authorised","IP authorisiert"
"Authorised access by IP, separated by ;","Authorisierter Zugang durch IP, getrennt durch ;"
"Tracker Product ID","Tracker Product ID"
"Export settings","Exporteinstellungen"
"Simple export settings","Einfache Exporteinstellungen"
"Export selected products only","Nur ausgewählte Produkte exportieren"
"Product type to export","Produkttyp für den Export"
"Export disabled products","Deaktivierte Produkte exportieren"
"Advanced export settings","Erweiterte Exporteinstellungen"
"Select attributes to export","Attribute für den Export auswählen"
"Country shipping","Länderversand"
"Default country for shipping cost","Land per default für Versandkosten"
"Shipping method","Versandart"
"Default shipping method to calculate shipping cost","Versandart per default für die Berechnung der Versandkosten"
"Shipping cost","Versandkosten"
"Default shipping cost if matching found","Versandkosten per default wenn Übereinstimmung gefunden"
"Merge images with parent products if available","Feed auf Datei sichern"
"Save feed on file","Feed auf Datei sichern"
"Save the feed on a file","Feed auf Datei sichern"
"Enable Magento cron","Magentocron aktivieren"
"Enable the scheduled task to export your feed every 4 hours","Geplante tasks aktivieren, um Ihren Feed alle 4 Stunden zu exportieren"
"Import settings","Importeinstellungen"
"Simple import settings","Einfache Importeinstellungen"
"Import orders from x days","Bestellungen von x Tagen importieren"
"Choose a number of days","Anzahl der Tage auswählen"
"Customer group","Kundengruppe"
"Choose a customer group for Lengow customer","Kundengruppe für Lengowkunden auswählen"
"Shipping method","Versandart"
"Choose a shipping method for imported orders"," Versandart für importierte Bestellungen auswählen"
"Advanced import settings","Erweiterte Importeinstellungen"
"I would like to be notified when there are issues regarding order importation","Bei Problemen während des Importes der Bestellungen möchte ich benachrichtigt werden"
"Mail for the report email"," Emailaddresse für den Email-Report"
"Email separated by ;","Email getrennt durch ;"
"Import orders shipped by marketplaces","Durch einen Marktplatz versandte Bestellungen importieren"
"I want to decrease my stock","Ich möchte meinen Lagerbestand verringern"
"Use this option to take marketplaces orders into account for your Magento backoffice"," Verwenden Sie diese Option, damit Bestellungen auf Marktplätzen in Ihrem Magento-Backoffice einbezogen werden"
"Preprod mode","Preprod-Modus"
"Only for preproduction mode: no order synchronisation with Lengow, orders imported every time","Nur für Preprod-Modus: keine Synchronisierung mit Lengow, Bestellungen immer importiert"
"Enable Magento cron","Magentocron aktivieren"
"Enable the scheduled task to import your orders every 30 minutes","Geplante Tasks aktivieren, um Ihre Bestellungen alle 30 Minuten zu importieren"
"API call blocked due to a timeout","API Anruf wegen Zeitüberschreitung blockiert"
"Curl error %1 - %2","fehler Curl %1 - %2"
"connection didn't work with Lengow's webservice in store %1 (%2)","verbindung mit dem Lengow Webservice im Laden %1 (%2) funktionierte nicht."
"Lengow webservice : %1 - %2 in store %3 (%4)","Lengow Webservice: %1 - %2 auf Lager %3 (%4)"
"Lengow error: %1 does not feature in the marketplace list","Lengow Fehler: %1 erscheint nicht in der Marketplace-Liste"
"unable to create order based on given quote","auf dem Angebot basierende Bestellung konnte nicht erstellt werden"
"product %1 could not be found","produkt %1 konnte nicht gefunden werden"
"product %1 is a parent ID. Product variation is needed","produkt %1 hat eine Vorgänger-ID. Produktvariation wird benötigt"
"order line is required but not found in the order","erforderliche Bestellzeile kann in der Bestellung nicht gefunden werden"
"action %1 is not valid","aktion %1 ist ungültig"
"the marketplace action %1 is not present","die Marktplatzaktion %1 ist nicht vorhanden"
"store ID is required","laden-ID ist erforderlich"
"marketplace name is required","marktplatzname ist erforderlich"
"can't send action: %1 is required","Aktion nicht ausführbar: %1 ist erforderlich"
"can't create action: %1","Aktion kann nicht erstellt werden: %1"
"order could not be saved","bestellung konnte nicht gespeichert werden"
"order action is too old. Please retry","bestellungsaktion ist zu alt. Bitte erneut versuchen"
"%1 order(s) imported","%1 Bestellung(en) importiert"
"%1 order(s) updated","%1 Bestellung(en) aktualisiert"
"%1 order(s) with errors","%1 Bestellung(en) mit Fehlern"
"No new notification on order","Keine neue Benachrichtigung zur Bestellung"
"%1 order(s) imported","%1 Bestellung(en) importiert"
"%1 order(s) updated","%1 Bestellung(en) aktualisiert"
"%1 order(s) with errors","%1 Bestellung(en) mit Fehlern"
"Account ID, token access or secret token are not valid","Konto-Nr., Access-Token oder Access-Token-Secret ungültig"
"No catalog ID valid for the store %1 (%2)","Keine gültige Katalog-Nr. für den Shop %1 (%2)"
"Import has already started. Please wait %1 seconds before re-importing orders","Bitte warten Sie %1 Sekunden, bevor Sie Bestellungen erneut importieren"
"ID account, access token or secret is empty in store %1 (%2)"," Account ID, Zugangs- oder Geheimtoken ist leer im Shop %1 (%2)"
"account ID %1 is already used by store %2 (%3)","Account ID %1 bereits im Shop %2 (%3) verwendet"
"Lengow error: order cannot be found in Lengow feed","Fehler Lengow: Bestellung kann in Lengow nicht gefunden werden"
"Lengow error: no product in the order","Fehler Lengow: keine Produkte in der Bestellung"
"Lengow error: no exchange rates available for order prices","Fehler Lengow: kein Wechselkurs für Bestellwert verfügbar"
"Lengow error: no currency in the order","Fehler Lengow: keine Währung in der Bestellung"
"Lengow error: delivery address doesn't contain the country","Fehler Lengow: Lieferaddresse enthält kein Land"
