"Lengow","Lengow"
"Dashboard","Dashboard"
"Products","Products"
"Orders","Orders"
"Help","Help"
"Logs","Logs"
"Settings","Settings"
"Yes","Yes"
"No","No"
"New version available!","New version available!"
"Start now benefiting the new features, improvements and bug fixes summed up in our","Start now benefiting the new features, improvements and bug fixes summed up in our"
"changelog.","changelog."
"Step 1","Step 1"
"Download the latest plugin version below.","Download the latest plugin version below."
"Compatible with Magento %1 to %2","Compatible with Magento %1 to %2"
"Requires %1 extension %2 to %3","Requires %1 extension %2 to %3"
"Step 2","Step 2"
"Follow","Follow"
"the update procedure (easy and fast).","the update procedure (easy and fast)."
"Not working? Contact our","Not working? Contact our"
"Customer Success team","Customer Success team"
"Lengow Magento %1","Lengow Magento %1"
"Not now, remind me later","Not now, remind me later"
"Debug Mode","Debug Mode"
"Trial period: %1 day(s) left.","Trial period: %1 day(s) left."
"Subscribe","Subscribe"
"A new version %1 is available!","A new version %1 is available!"
"Download","Download"
"Toolbox","Toolbox"
"Legal notices","Legal notices"
"Lengow Magento Plugin","Lengow Magento Plugin"
"http://www.lengow.com/","http://www.lengow.com/"
"Lengow helps you optimize your business worldwide!","Lengow helps you optimize your business worldwide!"
"Through the platform, you can automatically publish your product catalogue on marketplaces, comparison websites, affiliate network, and retargeting campaigns.","Through the platform, you can automatically publish your product catalogue on marketplaces, comparison websites, affiliate network, and retargeting campaigns."
"Explore your opportunities for international growth with 1,600 sales channels in 42 different countries.","Explore your opportunities for international growth with 1,600 sales channels in 42 different countries."
"Just one more step to go to install your Lengow plugin for Magento","Just one more step to go to install your Lengow plugin for Magento"
"Connect my Magento with Lengow","Connect my Magento with Lengow"
"You don't have a Lengow account?","You don't have a Lengow account?"
"Sign up for free","Sign up for free"
"Please enter your API Lengow credentials","Please enter your API Lengow credentials"
"Find these credentials in your account settings, section A.P.I","Find these credentials in your account settings, section A.P.I"
"Need help?","Need help?"
"Check out our Help Center","Check out our Help Center"
"Connect to Lengow","Connect to Lengow"
"Connecting...","Connecting..."
"Enter your access token","Enter your access token"
"Enter your secret","Enter your secret"
"Well done! Lengow is now connected with your Magento","Well done! Lengow is now connected with your Magento"
"You can now use the plugin, configure your products and view your marketplace orders.","You can now use the plugin, configure your products and view your marketplace orders."
"To import your catalogue and configure your channels,","To import your catalogue and configure your channels,"
"go to Lengow.","go to Lengow."
"Go to dashboard","Go to dashboard"
"One last step to complete the installation:","One last step to complete the installation:"
"Link your Lengow catalogs to your Magento stores.","Link your Lengow catalogs to your Magento stores."
"Link catalogues","Link catalogues"
"Ooops! Unable to connect Lengow to your Magento","Ooops! Unable to connect Lengow to your Magento"
"We were unable to make the connection between your Magento and Lengow.","We were unable to make the connection between your Magento and Lengow."
"Unable to connect with credentials provided.","Unable to connect with credentials provided."
"Please verify that these credentials match Lengow's production environment.","Please verify that these credentials match Lengow's production environment."
"Please verify that these credentials match Lengow's pre-production environment.","Please verify that these credentials match Lengow's pre-production environment."
"If the problem persists, you can take a look at","If the problem persists, you can take a look at"
"Magento guide","Magento guide"
"or contact our","or contact our"
"Customer Success Team","Customer Success Team"
"Retry","Retry"
"Link your stores with Lengow","Link your stores with Lengow"
"To retrieve all your existing configuration (orders, products...) directly link the following Magento stores with your Lengow catalogue(s).","To retrieve all your existing configuration (orders, products...) directly link the following Magento stores with your Lengow catalogue(s)."
"catalogues are available and not linked to a cms in Lengow.","catalogues are available and not linked to a cms in Lengow."
"Save and go to the dashboard","Save and go to the dashboard"
"Saving...","Saving..."
"Select a catalogue","Select a catalogue"
"Ooops! Unable to link your catalogues in Lengow","Ooops! Unable to link your catalogues in Lengow"
"We were unable to link your catalogues to Lengow.","We were unable to link your catalogues to Lengow."
"You can try again or fill in the catalogues IDs directly in the plugin settings.","You can try again or fill in the catalogues IDs directly in the plugin settings."
"Dashboard","Dashboard"
"Hi! Welcome back!","Hi! Welcome back!"
"Go to Lengow","Go to Lengow"
"Products","Products"
"Take a look at all available products so that you can prepare your catalogue","Take a look at all available products so that you can prepare your catalogue"
"Orders","Orders"
"Manage your orders directly on your Magento dashboard","Manage your orders directly on your Magento dashboard"
"Settings","Settings"
"Configure your Magento plugin main settings","Configure your Magento plugin main settings"
"Need some help?","Need some help?"
"Get in touch with Lengow.","Get in touch with Lengow."
"Visit our Help Center","Visit our Help Center"
"for detailed information on how to configure your Magento plugin properly","for detailed information on how to configure your Magento plugin properly"
"You have %1 order(s) with errors","You have %1 order(s) with errors"
"You have %1 order(s) waiting to be sent","You have %1 order(s) waiting to be sent"
"Last synchronisation : %1","Last synchronisation : %1"
"All good things come to an end","All good things come to an end"
"You've reached the end of your trial!","You've reached the end of your trial!"
"Your free 15-day trial period on Lengow has now expired. We know that it is sad news, but the best is yet to come! We sincerely hope Lengow has helped you improve your business.","Your free 15-day trial period on Lengow has now expired. We know that it is sad news, but the best is yet to come! We sincerely hope Lengow has helped you improve your business."
"Your account will be suspended until you purchase a new subscription. All existing distributions and importations will also be suspended.","Your account will be suspended until you purchase a new subscription. All existing distributions and importations will also be suspended."
"Don't forget that trial accounts are deleted 30 days after the end of the trial period. Make sure to subscribe so you do not lose the work you've done building channels.","Don't forget that trial accounts are deleted 30 days after the end of the trial period. Make sure to subscribe so you do not lose the work you've done building channels."
"It's ok, I'm ready to subscribe!","It's ok, I'm ready to subscribe!"
"Refresh my account","Refresh my account"
"Products","Products"
"products exported","products exported"
"products available","products available"
"Include specific products","Include specific products"
"Use this option to select products one by one","Use this option to select products one by one"
"Download","Download"
"ID","ID"
"Image","Image"
"Name","Name"
"Type","Type"
"Attribut set name","Attribut set name"
"SKU","SKU"
"Price","Price"
"Quantity","Quantity"
"Visibility","Visibility"
"Status","Status"
"Websites","Websites"
"Include in export?","Include in export?"
"Publish in Lengow","Publish in Lengow"
"Unpublish in Lengow","Unpublish in Lengow"
"Something went wrong while updating the lengow product(s) attribute.","Something went wrong while updating the lengow product(s) attribute."
"Orders","Orders"
"Synchronize Orders","Synchronize Orders"
"You are in Debug Mode. You can import orders, but no interaction with Lengow is possible.","You are in Debug Mode. You can import orders, but no interaction with Lengow is possible."
"Change this","Change this"
"Lengow informations","Lengow informations"
"Delivery Address ID","Delivery Address ID"
"Currency","Currency"
"Commission","Commission"
"Customer email","Customer email"
"Carrier from marketplace","Carrier from marketplace"
"Shipping method from marketplace","Shipping method from marketplace"
"Tracking number","Tracking number"
"ID relay","ID relay"
"Express delivery","Express delivery"
"Shipped by Marketplace","Shipped by Marketplace"
"Business","Business"
"Message","Message"
"Imported at","Imported at"
"JSON format","JSON format"
"This order is not from Lengow","This order is not from Lengow"
"Due to a reimportation, this order is not tracked by Lengow","Due to a reimportation, this order is not tracked by Lengow"
"Synchronize ID","Synchronize ID"
"Do you really want to synchronize the order?","Do you really want to synchronize the order?"
"Re-import order","Re-import order"
"Do you really want to re-import the order?","Do you really want to re-import the order?"
"Resend Action","Resend Action"
"Do you really want to %1 the order?","Do you really want to %1 the order?"
"No synchronisation for now","No synchronisation for now"
"All order issue reports will be sent by mail to","All order issue reports will be sent by mail to"
"No order issue reports will be sent by mail","No order issue reports will be sent by mail"
"Change this?","Change this?"
"The synchronisation of the orders was blocked by a timeout. Please reload the page.","The synchronisation of the orders was blocked by a timeout. Please reload the page."
"Actions","Actions"
"Success","Success"
"Error","Error"
"Status","Status"
"Accepted","Accepted"
"Awaiting shipment","Awaiting shipment"
"Shipped","Shipped"
"Refunded","Refunded"
"Closed","Closed"
"Canceled","Canceled"
"Types","Types"
"Marketplace","Marketplace"
"Store","Store"
"Order ID","Order ID"
"Magento reference","Magento reference"
"Magento status","Magento status"
"Date","Date"
"Customer Name","Customer Name"
"Country","Country"
"Amount","Amount"
"not imported","not imported"
"not sent","not sent"
"Order hasn't been imported into Magento","Order hasn't been imported into Magento"
"action %1 sent","action %1 sent"
"Action sent to the marketplace didn't work","Action sent to the marketplace didn't work"
"Unidentified error, please contact Lengow's support team for more information","Unidentified error, please contact Lengow's support team for more information"
"Action sent, waiting for response","Action sent, waiting for response"
"%1 product(s)","%1 product(s)"
"Re-import selected orders","Re-import selected orders"
"Re-import all selected orders","Re-import all selected orders"
"Do you want to re-import all selected orders?","Do you want to re-import all selected orders?"
"A total of %1 order(s) in %2 selected have been imported.","A total of %1 order(s) in %2 selected have been imported."
"Re-send selected orders","Re-send selected orders"
"Re-send all selected orders","Re-send all selected orders"
"Do you want to re-send all selected orders?","Do you want to re-send all selected orders?"
"A total of %1 order(s) in %2 selected have been sent.","A total of %1 order(s) in %2 selected have been sent."
"Get a little help from your support team!","Get a little help from your support team!"
"Ask us anything about Lengow or share your feedback with","Ask us anything about Lengow or share your feedback with"
"Lengow Support.","Lengow Support."
"Need some help?","Need some help?"
"We’ll do our best to get back to you during regular business hours (Monday to Friday – 9am to 6pm GMT+1).","We’ll do our best to get back to you during regular business hours (Monday to Friday – 9am to 6pm GMT+1)."
"You can also find answers in our","You can also find answers in our"
"Magento 2 dedicated guide","Magento 2 dedicated guide"
"Logs","Logs"
"ID","ID"
"Date","Date"
"Message","Message"
"Category","Category"
"Simplified limited liability company","Simplified limited liability company"
"Social capital:","Social capital:"
"CNIL declaration:","CNIL declaration:"
"Company Registration Number (Nantes):","Company Registration Number (Nantes):"
"VAT identification number:","VAT identification number:"
"Address","Address"
"Contact","Contact"
"Hosting","Hosting"
"Lengow Toolbox","Lengow Toolbox"
"Global information","Global information"
"Checklist","Checklist"
"Lengow needs the CURL PHP extension","Lengow needs the CURL PHP extension"
"The CURL extension is not installed or enabled in your PHP installation","The CURL extension is not installed or enabled in your PHP installation"
"https://www.php.net/manual/en/curl.setup.php","https://www.php.net/manual/en/curl.setup.php"
"Go to Curl PHP extension manual","Go to Curl PHP extension manual"
"Lengow needs the SimpleXML PHP extension","Lengow needs the SimpleXML PHP extension"
"The SimpleXML extension is not installed or enabled in your PHP installation","The SimpleXML extension is not installed or enabled in your PHP installation"
"https://www.php.net/manual/en/book.simplexml.php","https://www.php.net/manual/en/book.simplexml.php"
"Go to SimpleXML PHP extension manual","Go to SimpleXML PHP extension manual"
"Lengow needs the JSON PHP extension","Lengow needs the JSON PHP extension"
"The JSON extension is not installed or enabled in your PHP installation","The JSON extension is not installed or enabled in your PHP installation"
"https://www.php.net/manual/en/book.json.php","https://www.php.net/manual/en/book.json.php"
"Go to JSON PHP extension manual","Go to JSON PHP extension manual"
"Plugin files check","Plugin files check"
"Some files have been changed by the customer","Some files have been changed by the customer"
"Plugin information","Plugin information"
"Magento version","Magento version"
"Plugin version","Plugin version"
"Server IP","Server IP"
"Authorisation by IP enabled","Authorisation by IP enabled"
"Authorised IP","Authorised IP"
"Export in a file enabled","Export in a file enabled"
"Magento cron job enabled for export","Magento cron job enabled for export"
"Debug Mode disabled","Debug Mode disabled"
"Read and write permission from media folder","Read and write permission from media folder"
"Toolbox URL","Toolbox URL"
"Import information","Import information"
"Import token","Import token"
"Import URL","Import URL"
"Magento cron job enabled for import","Magento cron job enabled for import"
"Orders imported by Lengow","Orders imported by Lengow"
"Orders waiting to be sent","Orders waiting to be sent"
"Orders with errors","Orders with errors"
"Import in progress","Import in progress"
"No import in progress","No import in progress"
"wait %1 seconds before the next import","wait %1 seconds before the next import"
"Last import","Last import"
"Last import type","Last import type"
"none","none"
"cron","cron"
"manual","manual"
"Store information","Store information"
"Export information","Export information"
"Store followed by Lengow","Store followed by Lengow"
"Lengow catalogs id synchronized","Lengow catalogs id synchronized"
"Export token","Export token"
"Last export","Last export"
"Products available in the store","Products available in the store"
"Products exported in the store","Products exported in the store"
"Export URL for this store","Export URL for this store"
"Content folder media","Content folder media"
"Folder path","Folder path"
"File list","File list"
"No file exported","No file exported"
"Magento cron schedule","Magento cron schedule"
"Lengow export cron jobs","Lengow export cron jobs"
"Lengow import cron jobs","Lengow import cron jobs"
"Status","Status"
"Message","Message"
"Scheduled at","Scheduled at"
"Executed at","Executed at"
"Finished at","Finished at"
"Any scheduled cron job for now","Any scheduled cron job for now"
"see message","see message"
"File Checksum integrity","File Checksum integrity"
"checkmd5.csv file is not available. Checking is impossible!","checkmd5.csv file is not available. Checking is impossible!"
"Summary","Summary"
"%1 files checked","%1 files checked"
"%1 files changed","%1 files changed"
"%1 files deleted","%1 files deleted"
"List of changed files","List of changed files"
"List of deleted files","List of deleted files"
"Lengow actions","Lengow actions"
"Lengow actions","Lengow actions"
"ID","ID"
"Order ID","Order ID"
"Action ID","Action ID"
"Order line ID","Order line ID"
"Action type","Action type"
"ship","ship"
"cancel","cancel"
"Retry","Retry"
"Settings","Settings"
"Status","Status"
"processing","processing"
"complete","complete"
"Created at","Created at"
"Updated at","Updated at"
"Global settings","Global settings"
"Identification settings","Identification settings"
"To change store credentials, please select a store","To change store credentials, please select a store"
"Account ID","Account ID"
"Your Lengow Account ID","Your Lengow Account ID"
"Access token","Access token"
"Your Lengow Access Token","Your Lengow Access Token"
"Secret token","Secret token"
"Your Lengow Secret Token","Your Lengow Secret Token"
"Enable store","Enable store"
"Enable store to work with Lengow","Enable store to work with Lengow"
"Catalogues ID","Catalogues ID"
"Your catalogues ID to import orders. Separate them by ' ; '","Your catalogues ID to import orders. Separate them by ' ; '"
"All advanced settings","All advanced settings"
"Enable authorisation by IP","Enable authorisation by IP"
"Enable this option if you want your export to be secured by IP. By default, your export is secured by a unique key.","Enable this option if you want your export to be secured by IP. By default, your export is secured by a unique key."
"IP authorised","IP authorised"
"Authorised access by IP, separated by ;","Authorised access by IP, separated by ;"
"Enable Lengow tracking","Enable Lengow tracking"
"This tracker allows you to retrieve order statistics generated on your site directly in Lengow.","This tracker allows you to retrieve order statistics generated on your site directly in Lengow."
"Tracker Product ID","Tracker Product ID"
"The name of the unique identifier entered in the Lengow","The name of the unique identifier entered in the Lengow"
"Export settings","Export settings"
"Simple export settings","Simple export settings"
"Export selected products only","Export selected products only"
"Product type to export","Product type to export"
"Export disabled products","Export disabled products"
"Advanced export settings","Advanced export settings"
"Select attributes to export","Select attributes to export"
"Country shipping","Country shipping"
"Default country for shipping cost","Default country for shipping cost"
"Shipping method","Shipping method"
"Default shipping method to calculate shipping cost","Default shipping method to calculate shipping cost"
"Shipping cost","Shipping cost"
"Default shipping cost if matching found","Default shipping cost if matching found"
"Merge images with parent products if available","Merge images with parent products if available"
"Select attributes to export from parent for the child product","Select attributes to export from parent for the child product"
"Select attributes from parent product that should be assigned to child product","Select attributes from parent product that should be assigned to child product"
"Save feed on file","Save feed on file"
"Save the feed on a file","Save the feed on a file"
"Enable Magento cron","Enable Magento cron"
"Enable the scheduled task to export your feed every 4 hours","Enable the scheduled task to export your feed every 4 hours"
"Import settings","Import settings"
"Simple import settings","Simple import settings"
"Synchronize all orders updated since","Synchronize all orders updated since"
"Choose a number of days (Max 10 days)","Choose a number of days (Max 10 days)"
"Customer group","Customer group"
"Choose a customer group for Lengow customer","Choose a customer group for Lengow customer"
"Shipping method","Shipping method"
"Choose a shipping method for imported orders","Choose a shipping method for imported orders"
"Convert the currency of your order","Convert the currency of your order"
"All orders imported into Magento will be automatically converted into the currency you've selected in Lengow","All orders imported into Magento will be automatically converted into the currency you've selected in Lengow"
"Advanced import settings","Advanced import settings"
"I would like to be notified when there are issues regarding order importation","I would like to be notified when there are issues regarding order importation"
"Mail for the report email","Mail for the report email"
"Email separated by ;","Email separated by ;"
"Import orders shipped by marketplaces","Import orders shipped by marketplaces"
"I want to decrease my stock","I want to decrease my stock"
"Use this option to take marketplaces orders into account for your Magento backoffice","Use this option to take marketplaces orders into account for your Magento backoffice"
"Activate Debug Mode","Activate Debug Mode"
"Use Debug Mode for testing and to simulate fictitious orders. Please note that you have to activate this setting on your pre-production server ONLY","Use Debug Mode for testing and to simulate fictitious orders. Please note that you have to activate this setting on your pre-production server ONLY"
"Enable Magento cron","Enable Magento cron"
"Enable the scheduled task to import your orders every 30 minutes","Enable the scheduled task to import your orders every 30 minutes"
"Enable import of B2B orders without tax","Enable import of B2B orders without tax"
"Activate this option to import B2B orders without tax","Activate this option to import B2B orders without tax"
"connection didn't work with Lengow's webservice in store %1 (%2)","connection didn't work with Lengow's webservice in store %1 (%2)"
"Lengow webservice : %1 - "%2" in store %3 (%4)","Lengow webservice : %1 - "%2" in store %3 (%4)"
"Lengow error: %1 does not feature in the marketplace list","Lengow error: %1 does not feature in the marketplace list"
"product id %1 can not be added to the quote because it is disabled","product id %1 can not be added to the quote because it is disabled"
"product id %1 can not be added to the quote because the stock is insufficient","product id %1 can not be added to the quote because the stock is insufficient"
"quote does not contain any valid products","quote does not contain any valid products"
"unable to create order based on given quote","unable to create order based on given quote"
"product %1 could not be found","product %1 could not be found"
"product %1 is a parent ID. Product variation is needed","product %1 is a parent ID. Product variation is needed"
"order line is required but not found in the order","order line is required but not found in the order"
"action %1 is not valid","action %1 is not valid"
"the marketplace action %1 is not present","the marketplace action %1 is not present"
"store ID is required","store ID is required"
"marketplace order reference is required","marketplace order reference is required"
"marketplace name is required","marketplace name is required"
"can't send action: %1 is required","can't send action: %1 is required"
"can't create action: %1","can't create action: %1"
"can't create action because Lengow API is unavailable. Please retry","can't create action because Lengow API is unavailable. Please retry"
"order could not be saved","order could not be saved"
"order action is too old. Please retry","order action is too old. Please retry"
"%1 order(s) imported","%1 order(s) imported"
"%1 order(s) updated","%1 order(s) updated"
"%1 order(s) with errors","%1 order(s) with errors"
"No new notification on order","No new notification on order"
"%1 order(s) imported","%1 order(s) imported"
"%1 order(s) updated","%1 order(s) updated"
"%1 order(s) with errors","%1 order(s) with errors"
"Account ID, token access or secret token are not valid","Account ID, token access or secret token are not valid"
"No catalog ID valid for the store %1 (%2)","No catalog ID valid for the store %1 (%2)"
"Import has already started. Please wait %1 seconds before re-importing orders","Import has already started. Please wait %1 seconds before re-importing orders"
