"Lengow","Lengow"
"Dashboard","Tableau de bord"
"Products","Produits"
"Orders","Commandes"
"Help","Aide"
"Logs","Logs"
"Settings","Paramètres"
"Yes","Oui"
"No","Non"
"Debug Mode","Debug Mode"
"Trial period: %1 day(s) left.","Période d'essai :  %1  jour(s) restant(s)."
"Subscribe","Souscrire"
"A new version %1 is available!","La nouvelle version %1 est disponible !"
"Download","Télécharger"
"Toolbox","Toolbox"
"Legal notices","Mentions légales"
"Lengow Magento Plugin","Lengow Magento Module"
"http://www.lengow.com/","http://www.lengow.com/fr/"
"Lengow helps you optimize your business worldwide!","Lengow vous aide à optimiser votre entreprise dans le monde entier !"
"Through the platform, you can automatically publish your product catalogue on marketplaces, comparison websites, affiliate network, and retargeting campaigns.","Grâce à la plateforme, vous pouvez publier automatiquement votre catalogue de produits sur des places de marché, des sites de comparaison, un réseau d'affiliés et des campagnes de reciblage."
"Explore your opportunities for international growth with 1,600 sales channels in 42 different countries.","Explorez vos possibilités de croissance internationale grâce à 1 600 canaux de vente dans 42 pays différents."
"Just one more step to go to install your Lengow plugin for Magento","Il ne vous reste plus qu'à installer votre plugin Lengow pour Magento"
"Connect my Magento with Lengow","Connecter mon Magento avec Lengow"
"You don't have a Lengow account?","Vous n'avez pas de compte Lengow ?"
"Sign up for free","Inscrivez-vous gratuitement"
"Please enter your API Lengow credentials","Veuillez entrer vos identifiants API Lengow"
"Find these credentials in your account settings, section A.P.I","Vous trouverez ces informations dans les paramètres de votre compte, section A.P.I"
"Need help?","Besoin d'aide ?"
"Check out our Help Center","Consultez notre centre d'aide"
"https://support.lengow.com/kb/en","https://support.lengow.com/kb/fr"
"Connect to Lengow","Se connecter à Lengow"
"Connecting...","Connexion..."
"Enter your access token","Entrez votre jeton d'accès"
"Enter your secret","Entrez votre secret"
"Well done! Lengow is now connected with your Magento","Bravo ! Lengow est maintenant connecté à votre Magento"
"You can now use the plugin, configure your products and view your marketplace orders.","Vous pouvez maintenant utiliser le module, configurer vos produits et visualiser vos commandes marketplaces."
"To import your catalogue and configure your channels,","Pour importer votre catalogue et configurer vos canaux,"
"go to Lengow.","rendez-vous sur Lengow."
"Go to dashboard","Aller au tableau de bord"
"One last step to complete the installation:","Une dernière étape pour compléter l'installation :"
"Link your Lengow catalogs to your Magento stores.","Reliez vos catalogues Lengow à vos boutiques Magento."
"Link catalogues","Lier les catalogues"
"Ooops! Unable to connect Lengow to your Magento","Ooops! Impossible de connecter Lengow à votre Magento"
"We were unable to make the connection between your Magento and Lengow.","Nous n'avons pas réussi à établir la connexion entre votre Magento et Lengow."
"Unable to connect with credentials provided.","Impossible de se connecter avec les identifiants fournis."
"Please verify that these credentials match Lengow's production environment.","Veuillez vérifier que ces identifiants correspondent à l'environnement de production de Lengow."
"Please verify that these credentials match Lengow's pre-production environment.","Veuillez vérifier que ces identifiants correspondent à l'environnement de pré-production de Lengow."
"If the problem persists, you can take a look at","Si le problème persiste, vous pouvez consulter le"
"Magento guide","guide Magento"
"or contact our","ou contacter notre"
"Customer Success Team","Customer Success Team"
"Retry","Réessayer"
"Link your stores with Lengow","Reliez vos boutiques à Lengow"
